2020-01-30T01:02:59.167356276Z | TRACE | Trace line
2020-01-30T03:19:31.841537238Z | WAARN |  LOG-TAG-2          -> Warning line
2020-03-25T05:55:54.409193749Z | TRACE | Trace line
2020-03-25T05:55:54.409217587Z | PANIC | Panic line
2020-03-25T05:55:54.409225518Z | FATAL | Fatal line
2020-03-25T05:55:54.409231643Z | ERROR | Error line
2020-03-25T05:55:54.409236337Z | WAARN | Warning line
2020-03-25T05:55:54.409242406Z | INFOO | Info line
2020-03-25T05:55:54.409248830Z | SUCES | Success line
2020-03-25T05:55:54.409256951Z | DEBUG | Debug line
2020-03-25T05:55:54.409295022Z | ERROR |  LOG-TAG-3 Error line
2020-03-25T05:55:54.409306584Z | ERROR |  LOG-TAG-3 Error line
2020-03-25T05:55:54.409307387Z | ERROR |  LOG-TAG-3      -> Error line
2020-03-25T05:55:54.409316349Z | ERROR |  LOG-TAG-3          -> Error line
2020-03-25T05:55:54.409307093Z | INFOO |  LOG-TAG-1 Info line
2020-03-25T05:55:54.409309900Z | INFOO |  LOG-TAG-1 Info line
2020-03-25T05:55:54.409310668Z | INFOO |  LOG-TAG-1      -> Info line
2020-03-25T05:55:54.409311367Z | INFOO |  LOG-TAG-1          -> Info line
2020-03-25T05:55:54.409311941Z | WAARN |  LOG-TAG-2 Warning line
2020-03-25T05:55:54.409312603Z | WAARN |  LOG-TAG-2 Warning line
2020-03-25T05:55:54.409313179Z | WAARN |  LOG-TAG-2      -> Warning line
2020-03-25T05:55:54.409313818Z | WAARN |  LOG-TAG-2          -> Warning line
2020-03-25T05:58:20.567043522Z | TRACE | Trace line
2020-03-25T05:58:20.567288577Z | PANIC | Panic line
2020-03-25T05:58:20.567363869Z | FATAL | Fatal line
2020-03-25T05:58:20.567399396Z | ERROR | Error line
2020-03-25T05:58:20.567429810Z | WAARN | Warning line
2020-03-25T05:58:20.567474226Z | INFOO | Info line
2020-03-25T05:58:20.567507145Z | SUCES | Success line
2020-03-25T05:58:20.567538982Z | DEBUG | Debug line
2020-03-25T05:58:24.389434173Z | TRACE | Trace line
2020-03-25T05:58:24.389651604Z | PANIC | Panic line
2020-03-25T05:58:24.389703206Z | FATAL | Fatal line
2020-03-25T05:58:24.389736599Z | ERROR | Error line
2020-03-25T05:58:24.389766818Z | WAARN | Warning line
2020-03-25T05:58:24.389799363Z | INFOO | Info line
2020-03-25T05:58:24.389831433Z | SUCES | Success line
2020-03-25T05:58:24.389863195Z | DEBUG | Debug line
